Code,N°,"English Name","Nom français","Property Value Alias",Date
Hant,502,"Han (Traditional variant)","idéogrammes han (variante traditionnelle)",,38136
Hebr,125,Hebrew,hébreu,Hebrew,38108
Hira,410,Hiragana,hiragana,Hiragana,38108
Hmng,450,"Pahawh Hmong","pahawh hmong",,38108
Hrkt,412,"(alias for Hiragana + Katakana)","(alias pour hiragana + katakana)",Katakana_Or_Hiragana,38108
Hung,176,"Old Hungarian","ancien hongrois",,38108
Inds,610,"Indus (Harappan)",indus,,38108
Ital,210,"Old Italic (Etruscan, Oscan, etc.)","ancien italique (étrusque, osque, etc.)",Old_Italic,38136
Java,361,Javanese,javanais,,38136
Kali,357,"Kayah Li","kayah li",,38108
Kana,411,Katakana,katakana,Katakana,38108
Khar,305,Kharoshthi,kharochthî,,38136
Khmr,355,Khmer,khmer,Khmer,38136
Knda,345,Kannada,"kannara (canara)",Kannada,38136
Laoo,356,Lao,laotien,Lao,38108
Latf,217,"Latin (Fraktur variant)","latin (variante brisée)",,38108
Latg,216,"Latin (Gaelic variant)","latin (variante gaélique)",,38108
Latn,215,Latin,latin,Latin,38108
Lepc,335,"Lepcha (Róng)","lepcha (róng)",,38108
Limb,336,Limbu,limbou,Limbu,38136
Lina,400,"Linear A","linéaire A",,38108
Linb,401,"Linear B","linéaire B",Linear_B,38136
Mand,140,Mandaean,mandéen,,38136
Maya,90,"Mayan hieroglyphs","hiéroglyphes mayas",,38108
Mero,100,Meroitic,méroïtique,,38108
Mlym,347,Malayalam,malayâlam,Malayalam,38108
Mong,145,Mongolian,mongol,Mongolian,38108
Mymr,350,"Myanmar (Burmese)",birman,Myanmar,38108
Ogam,212,Ogham,ogam,Ogham,38108
Orkh,175,Orkhon,orkhon,,38108
Orya,327,Oriya,oriyâ,Oriya,38108
Osma,260,Osmanya,osmanais,Osmanya,38108
Perm,227,"Old Permic","ancien permien",,38108
Phag,331,Phags-pa,"’phags pa",,38136
Phnx,115,Phoenician,phénicien,,38108
Plrd,282,"Pollard Phonetic","phonétique de Pollard",,38108
Qaaa,900,"Reserved for private use (start)","réservé à l’usage privé (début)",,38136
Qabx,949,"Reserved for private use (end)","réservé à l’usage privé (fin)",,38136
Roro,620,Rongorongo,rongorongo,,38108
Runr,211,Runic,runique,Runic,38108
Sara,292,Sarati,sarati,,38136
Shaw,281,"Shavian (Shaw)","shavien (Shaw)",Shavian,38108
Sinh,348,Sinhala,singhalais,Sinhala,38108
Sylo,316,"Syloti Nagri","sylotî nâgrî",,38136
Syrc,135,Syriac,syriaque,Syriac,38108
Syre,138,"Syriac (Estrangelo variant)","syriaque (variante estranghélo)",,38108
Syrj,137,"Syriac (Western variant)","syriaque (variante occidentale)",,38108
Syrn,136,"Syriac (Eastern variant)","syriaque (variante orientale)",,38108
Tagb,373,Tagbanwa,tagbanoua,Tagbanwa,38108
Tale,353,"Tai Le","taï le",Tai_Le,38136
Talu,354,"Tai Lue","taï lue",,38136
Taml,346,Tamil,tamoul,Tamil,38108
Telu,340,Telugu,télougou,Telugu,38108
Teng,290,Tengwar,tengwar,,38108
Tfng,120,"Tifinagh (Berber)","tifinagh (berbère)",,38108
Tglg,370,Tagalog,tagal,Tagalog,38108
Thaa,170,Thaana,thâna,Thaana,38108
Thai,352,Thai,thaï,Thai,38108
Tibt,330,Tibetan,tibétain,Tibetan,38108
Ugar,40,Ugaritic,ougaritique,Ugaritic,38108
Vaii,470,Vai,vaï,,38108
Visp,280,"Visible Speech","parole visible",,38108
Xpeo,30,"Old Persian","cunéiforme persépolitain",,38108
Xsux,20,"Cuneiform, Sumero-Akkadian","cunéiforme suméro-akkadien",,38108
Yiii,460,Yi,yi,Yi,38108
Zxxx,997,"Code for unwritten languages","codet pour les langues non écrites",,38108
Zyyy,998,"Code for undetermined script","codet pour écriture indéterminée",Common,38136
Zzzz,999,"Code for uncoded script","codet pour écriture non codée",,38108
Code,N°,"English Name","Nom français","Property Value Alias",Date
