Abkhazian,abkhaze,abk,ab
Kru,krou,kro,
"Kuanyama; Kwanyama","kuanyama; kwanyama",kua,kj
Kumyk,koumyk,kum,
Kurdish,kurde,kur,ku
Kurukh,kurukh,kru,
Kutenai,kutenai,kut,
"Kwanyama, Kuanyama","kwanyama; kuanyama",kua,kj
Ladino,judéo-espagnol,lad,
Lahnda,lahnda,lah,
Lamba,lamba,lam,
Lao,lao,lao,lo
Latin,latin,lat,la
Latvian,letton,lav,lv
"Letzeburgesch; Luxembourgish",luxembourgeois,ltz,lb
Lezghian,lezghien,lez,
"Limburgan; Limburger; Limburgish",limbourgeois,lim,li
"Limburger; Limburgan; Limburgish;",limbourgeois,lim,li
"Limburgish; Limburger; Limburgan",limbourgeois,lim,li
Lingala,lingala,lin,ln
Lithuanian,lituanien,lit,lt
Lojban,lojban,jbo,
"Low German; Low Saxon; German, Low; Saxon, Low","bas allemand; bas saxon; allemand, bas; saxon, bas",nds,
"Low Saxon; Low German; Saxon, Low; German, Low","bas saxon; bas allemand; saxon, bas; allemand, bas",nds,
"Lower Sorbian",bas-sorabe,dsb,
Lozi,lozi,loz,
Luba-Katanga,luba-katanga,lub,lu
Luba-Lulua,luba-lulua,lua,
Luiseno,luiseno,lui,
"Lule Sami","sami de Lule",smj,
Lunda,lunda,lun,
"Luo (Kenya and Tanzania)","luo (Kenya et Tanzanie)",luo,
Lushai,lushai,lus,
"Luxembourgish; Letzeburgesch",luxembourgeois,ltz,lb
Macedonian,macédonien,mac/mkd,mk
Madurese,madourais,mad,
Magahi,magahi,mag,
Maithili,maithili,mai,
Makasar,makassar,mak,
Malagasy,malgache,mlg,mg
Malay,malais,may/msa,ms
Malayalam,malayalam,mal,ml
Maltese,maltais,mlt,mt
Manchu,mandchou,mnc,
Mandar,mandar,mdr,
Mandingo,mandingue,man,
Manipuri,manipuri,mni,
"Manobo languages","manobo, langues",mno,
Manx,"manx; mannois",glv,gv
Maori,maori,mao/mri,mi
Marathi,marathe,mar,mr
Mari,mari,chm,
Marshallese,marshall,mah,mh
Marwari,marvari,mwr,
Masai,massaï,mas,
"Mayan languages","maya, langues",myn,
Mende,mendé,men,
Micmac,micmac,mic,
Minangkabau,minangkabau,min,
"Miscellaneous languages","diverses, langues",mis,
Mohawk,mohawk,moh,
Moksha,moksa,mdf,
Moldavian,moldave,mol,mo
"Mon-Khmer (Other)","môn-khmer, autres langues",mkh,
Mongo,mongo,lol,
Mongolian,mongol,mon,mn
Mossi,moré,mos,
"Multiple languages",multilingue,mul,
"Munda languages","mounda, langues",mun,
Nahuatl,nahuatl,nah,
Nauru,nauruan,nau,na
"Navaho, Navajo",navaho,nav,nv
"Navajo; Navaho",navaho,nav,nv
"Ndebele, North","ndébélé du Nord",nde,nd
"Ndebele, South","ndébélé du Sud",nbl,nr
Ndonga,ndonga,ndo,ng
Neapolitan,napolitain,nap,
"Nepal Bhasa ; Newari","nepal bhasa ; newari",new,
Nepali,népalais,nep,ne
"Newari; Nepal Bhasa","newari; nepal bhasa",new,
Nias,nias,nia,
"Niger-Kordofanian (Other)","nigéro-congolaises, autres langues",nic,
"Nilo-Saharan (Other)","nilo-sahariennes, autres langues",ssa,
Niuean,niué,niu,
Nogai,"nogaï; nogay",nog,
"Norse, Old","norrois, vieux",non,
"North American Indian (Other)","indiennes d'Amérique du Nord, autres langues",nai,
"Northern Sami","sami du Nord",sme,se
"North Ndebele","ndébélé du Nord",nde,nd
Norwegian,norvégien,nor,no
"Norwegian Bokmål; Bokmål, Norwegian","norvégien bokmål; bokmål, norvégien",nob,nb
"Norwegian Nynorsk; Nynorsk, Norwegian","norvégien nynorsk; nynorsk, norvégien",nno,nn
"Nubian languages","nubiennes, langues",nub,
Nyamwezi,nyamwezi,nym,
"Nyanja; Chichewa; Chewa","nyanja; chichewa; chewa",nya,ny
Nyankole,nyankolé,nyn,
"Nynorsk, Norwegian; Norwegian Nynorsk","nynorsk, norvégien; norvégien nynorsk",nno,nn
Nyoro,nyoro,nyo,
Nzima,nzema,nzi,
"Occitan (post 1500); Provençal","occitan (après 1500); provençal",oci,oc
Ojibwa,ojibwa,oji,oj
"Old Bulgarian; Old Slavonic; Church Slavonic; Church Slavic; Old Church Slavonic","vieux bulgare; vieux slave; slavon liturgique; slavon d'église",chu,cu
"Old Church Slavonic; Old Slavonic; Church Slavonic; Old Bulgarian; Church Slavic","vieux slave; slavon liturgique; vieux bulgare; slavon d'église",chu,cu
"Old Newari; Classical Newari; Classical Nepal Bhasa","newari classique",nwc,
"Old Slavonic; Church Slavonic; Old Bulgarian; Church Slavic; Old Church Slavonic","vieux slave; slavon liturgique; vieux bulgare; slavon d'église",chu,cu
Oriya,oriya,ori,or
Oromo,galla,orm,om
Osage,osage,osa,
"Ossetian; Ossetic",ossète,oss,os
"Ossetic; Ossetian",ossète,oss,os
"Otomian languages","otomangue, langues",oto,
Pahlavi,pahlavi,pal,
Palauan,palau,pau,
Pali,pali,pli,pi
Pampanga,pampangan,pam,
Pangasinan,pangasinan,pag,
"Panjabi; Punjabi",pendjabi,pan,pa
Papiamento,papiamento,pap,
"Papuan (Other)","papoues, autres langues",paa,
Persian,persan,per/fas,fa
"Persian, Old (ca.600-400 B.C.)","perse, vieux (ca. 600-400 av. J.-C.)",peo,
"Philippine (Other)","philippines, autres langues",phi,
Phoenician,phénicien,phn,
Pohnpeian,pohnpei,pon,
Polish,polonais,pol,pl
Portuguese,portugais,por,pt
"Prakrit languages",prâkrit,pra,
"Provençal; Occitan (post 1500)","provençal; occitan (après 1500)",oci,oc
"Provençal, Old (to 1500)","provençal ancien (jusqu'à 1500)",pro,
"Punjabi; Panjabi",pendjabi,pan,pa
Pushto,pachto,pus,ps
Rajasthani,rajasthani,raj,
Rapanui,rapanui,rap,
Rarotongan,rarotonga,rar,
"Reserved for local use","réservée à l'usage local",qaa-qtz,
"Romance (Other)","romanes, autres langues",roa,
Romanian,roumain,rum/ron,ro
Romany,tsigane,rom,
Rundi,rundi,run,rn
Russian,russe,rus,ru
"Salishan languages","salish, langues",sal,
"Samaritan Aramaic",samaritain,sam,
"Sami languages (Other)","sami, autres langues",smi,
Samoan,samoan,smo,sm
Sandawe,sandawe,sad,
Sango,sango,sag,sg
Sanskrit,sanskrit,san,sa
Santali,santal,sat,
Sardinian,sarde,srd,sc
Sasak,sasak,sas,
"Saxon, Low; German, Low; Low Saxon; Low German","saxon, bas; allemand, bas; bas saxon; bas allemand",nds,
Scots,écossais,sco,
"Scottish Gaelic; Gaelic","gaélique écossais; gaélique",gla,gd
Selkup,selkoupe,sel,
"Semitic (Other)","sémitiques, autres langues",sem,
Serbian,serbe,scc/srp,sr
Serer,sérère,srr,
Shan,chan,shn,
Shona,shona,sna,sn
"Sichuan Yi","yi de Sichuan",iii,ii
Sidamo,sidamo,sid,
"Sign languages","langues des signes",sgn,
Siksika,blackfoot,bla,
Sindhi,sindhi,snd,sd
Sinhalese,singhalais,sin,si
"Sino-Tibetan (Other)","sino-tibétaines, autres langues",sit,
"Siouan languages","sioux, langues",sio,
"Skolt Sami","sami skolt",sms,
"Slave (Athapascan)","esclave (athapascan)",den,
"Slavic (Other)","slaves, autres langues",sla,
Slovak,slovaque,slo/slk,sk
Slovenian,slovène,slv,sl
Sogdian,sogdien,sog,
Somali,somali,som,so
Songhai,songhai,son,
Soninke,soninké,snk,
"Sorbian languages","sorabes, langues",wen,
"Sotho, Northern","sotho du Nord",nso,
"Sotho, Southern","sotho du Sud",sot,st
"South American Indian (Other)","indiennes d'Amérique du Sud, autres langues",sai,
"Southern Sami","sami du Sud",sma,
"South Ndebele","ndébélé du Sud",nbl,nr
"Spanish; Castilian","espagnol; castillan",spa,es
Sukuma,sukuma,suk,
Sumerian,sumérien,sux,
Sundanese,soundanais,sun,su
Susu,soussou,sus,
Swahili,swahili,swa,sw
Swati,swati,ssw,ss
Swedish,suédois,swe,sv
Syriac,syriaque,syr,
Tagalog,tagalog,tgl,tl
Tahitian,tahitien,tah,ty
"Tai (Other)","thaïes, autres langues",tai,
Tajik,tadjik,tgk,tg
Tamashek,tamacheq,tmh,
Tamil,tamoul,tam,ta
Tarifit,rif,rif,
Tatar,tatar,tat,tt
Telugu,télougou,tel,te
Tereno,tereno,ter,
Tetum,tetum,tet,
Thai,thaï,tha,th
Tibetan,tibétain,tib/bod,bo
Tigre,tigré,tig,
Tigrinya,tigrigna,tir,ti
Timne,temne,tem,
Tiv,tiv,tiv,
"tlhlngan-Hol; Klingon",klingon,tlh,
Tlingit,tlingit,tli,
"Tok Pisin","tok pisin",tpi,
Tokelau,tokelau,tkl,
"Tonga (Nyasa)","tonga (Nyasa)",tog,
"Tonga (Tonga Islands)","tongan (Îles Tonga)",ton,to
Tsimshian,tsimshian,tsi,
Tsonga,tsonga,tso,ts
Tswana,tswana,tsn,tn
Tumbuka,tumbuka,tum,
"Tupi languages","tupi, langues",tup,
Turkish,turc,tur,tr
"Turkish, Ottoman (1500-1928)","turc ottoman (1500-1928)",ota,
Turkmen,turkmène,tuk,tk
Tuvalu,tuvalu,tvl,
Tuvinian,touva,tyv,
Twi,twi,twi,tw
Udmurt,oudmourte,udm,
Ugaritic,ougaritique,uga,
Uighur,ouïgour,uig,ug
Ukrainian,ukrainien,ukr,uk
Umbundu,umbundu,umb,
Undetermined,indéterminée,und,
"Upper Sorbian",haut-sorabe,hsb,
Urdu,ourdou,urd,ur
Uzbek,ouszbek,uzb,uz
Vai,vaï,vai,
"Valencian; Catalan","valencien; catalan",cat,ca
Venda,venda,ven,ve
Vietnamese,vietnamien,vie,vi
Volapük,volapük,vol,vo
Votic,vote,vot,
"Wakashan languages","wakashennes, langues",wak,
Walamo,walamo,wal,
Walloon,wallon,wln,wa
Waray,waray,war,
Washo,washo,was,
Welsh,gallois,wel/cym,cy
Wolof,wolof,wol,wo
Xhosa,xhosa,xho,xh
Yakut,iakoute,sah,
Yao,yao,yao,
Yapese,yapois,yap,
Yiddish,yiddish,yid,yi
Yoruba,yoruba,yor,yo
"Yupik languages","yupik, langues",ypk,
Zande,zandé,znd,
Zapotec,zapotèque,zap,
Zenaga,zenaga,zen,
"Zhuang; Chuang","zhuang; chuang",zha,za
Zulu,zoulou,zul,zu
Zuni,zuni,zun,
