# broken vertex buffer robustness
#GTF-GL46.gtf21.GL2FixedTests.vertex_order.vertex_order,Fail
#GTF-GL46.gtf31.GL3Tests.draw_instanced.draw_instanced_vertex_attrib_stride,Fail
#GTF-GL46.gtf33.GL3Tests.instanced_arrays.instanced_arrays_stride,Fail
#KHR-GL46.tessellation_shader.tessellation_shader_triangles_tessellation.inner_tessellation_level_rounding
#KHR-GL46.vertex_attrib_64bit.limits_test,Fail
#KHR-GL46.vertex_attrib_64bit.vao,Fail
#KHR-GL46.vertex_attrib_binding.advanced-bindingUpdate,Fail
#KHR-GL46.vertex_attrib_binding.basic-inputI-case2,Fail
#KHR-Single-GL46.enhanced_layouts.varying_array_locations,Fail
#KHR-Single-GL46.enhanced_layouts.varying_locations,Fail
#KHR-Single-GL46.enhanced_layouts.varying_structure_locations,Fail

# uncategorized
KHR-GL46.blend_equation_advanced.blend_specific.GL_COLORDODGE_KHR,Fail
KHR-GL46.blend_equation_advanced.blend_specific.GL_DARKEN_KHR,Fail
KHR-GL46.blend_equation_advanced.blend_specific.GL_DIFFERENCE_KHR,Fail
KHR-GL46.blend_equation_advanced.blend_specific.GL_EXCLUSION_KHR,Fail
KHR-GL46.blend_equation_advanced.blend_specific.GL_HARDLIGHT_KHR,Fail
KHR-GL46.blend_equation_advanced.blend_specific.GL_HSL_COLOR_KHR,Fail
KHR-GL46.blend_equation_advanced.blend_specific.GL_HSL_HUE_KHR,Fail
KHR-GL46.blend_equation_advanced.blend_specific.GL_HSL_LUMINOSITY_KHR,Fail
KHR-GL46.blend_equation_advanced.blend_specific.GL_HSL_SATURATION_KHR,Fail
KHR-GL46.blend_equation_advanced.blend_specific.GL_LIGHTEN_KHR,Fail
KHR-GL46.blend_equation_advanced.blend_specific.GL_MULTIPLY_KHR,Fail
KHR-GL46.blend_equation_advanced.blend_specific.GL_OVERLAY_KHR,Fail
KHR-GL46.blend_equation_advanced.blend_specific.GL_SCREEN_KHR,Fail
KHR-GL46.blend_equation_advanced.blend_specific.GL_SOFTLIGHT_KHR,Fail
KHR-GL46.blend_equation_advanced.test_coherency.multiplySequence,Fail

# This test fails after mysteriously failing to create a pipeline
KHR-Single-GL46.enhanced_layouts.xfb_global_buffer,Crash

# These pass on AMDVLK
KHR-GL46.shaders.loops.do_while_constant_iterations.nested_tricky_dataflow_2_vertex,Fail
KHR-GL46.shaders.loops.do_while_constant_iterations.nested_sequence_fragment,Fail
KHR-GL46.shaders.loops.do_while_constant_iterations.nested_fragment,Fail
KHR-GL46.geometry_shader.primitive_queries.primitive_queries_lines,Fail
KHR-GL46.geometry_shader.primitive_queries.primitive_queries_points,Fail
KHR-GL46.geometry_shader.primitive_queries.primitive_queries_triangles,Fail
KHR-GL46.geometry_shader.qualifiers.flat_interpolation,Fail
KHR-GL46.tessellation_shader.tessellation_shader_triangles_tessellation.degenerate_triangle,Fail
KHR-GL46.compute_shader.pipeline-post-xfb,Fail
KHR-GL46.transform_feedback.draw_xfb_stream_test,Fail
KHR-Single-GL46.enhanced_layouts.xfb_all_stages,Fail
KHR-Single-GL46.enhanced_layouts.xfb_block_member_stride,Fail
KHR-Single-GL46.enhanced_layouts.xfb_capture_inactive_output_block_member,Fail
KHR-Single-GL46.enhanced_layouts.xfb_capture_inactive_output_component,Fail
KHR-Single-GL46.enhanced_layouts.xfb_capture_inactive_output_variable,Fail
KHR-Single-GL46.enhanced_layouts.xfb_capture_struct,Fail
KHR-Single-GL46.enhanced_layouts.xfb_explicit_location,Fail
KHR-Single-GL46.enhanced_layouts.xfb_stride,Fail
KHR-Single-GL46.enhanced_layouts.xfb_stride_of_empty_list,Fail
KHR-Single-GL46.enhanced_layouts.xfb_stride_of_empty_list_and_api,Fail
KHR-Single-GL46.enhanced_layouts.xfb_struct_explicit_location,Fail
KHR-Single-GL46.enhanced_layouts.xfb_vertex_streams,Fail
KHR-GL46.transform_feedback.capture_geometry_interleaved_test,Fail
KHR-GL46.transform_feedback.capture_geometry_separate_test,Fail
KHR-GL46.transform_feedback.capture_vertex_interleaved_test,Fail
KHR-GL46.transform_feedback.capture_vertex_separate_test,Fail
KHR-GL46.transform_feedback.query_geometry_interleaved_test,Fail
KHR-GL46.transform_feedback.query_geometry_separate_test,Fail
KHR-GL46.transform_feedback.query_vertex_interleaved_test,Fail
KHR-GL46.transform_feedback.query_vertex_separate_test,Fail
GTF-GL46.gtf30.GL3Tests.transform_feedback.transform_feedback_basic_outline,Fail
GTF-GL46.gtf30.GL3Tests.transform_feedback.transform_feedback_double_precision,Fail
GTF-GL46.gtf30.GL3Tests.transform_feedback.transform_feedback_geometry,Fail
GTF-GL46.gtf30.GL3Tests.transform_feedback.transform_feedback_geometry_primitive_types,Fail
GTF-GL46.gtf30.GL3Tests.transform_feedback.transform_feedback_interleaved,Fail
GTF-GL46.gtf30.GL3Tests.transform_feedback.transform_feedback_max_interleaved,Fail
GTF-GL46.gtf30.GL3Tests.transform_feedback.transform_feedback_max_separate,Fail
GTF-GL46.gtf30.GL3Tests.transform_feedback.transform_feedback_misc,Fail
GTF-GL46.gtf30.GL3Tests.transform_feedback.transform_feedback_overflow,Fail
GTF-GL46.gtf30.GL3Tests.transform_feedback.transform_feedback_vertex_id,Fail
GTF-GL46.gtf40.GL3Tests.transform_feedback2.transform_feedback2_basic,Fail
GTF-GL46.gtf40.GL3Tests.transform_feedback2.transform_feedback2_framebuffer,Fail
GTF-GL46.gtf40.GL3Tests.transform_feedback2.transform_feedback2_two_buffers,Fail
GTF-GL46.gtf40.GL3Tests.transform_feedback3.transform_feedback3_basic_outline,Fail
GTF-GL46.gtf40.GL3Tests.transform_feedback3.transform_feedback3_geometry_instanced,Fail
GTF-GL46.gtf40.GL3Tests.transform_feedback3.transform_feedback3_multiple_streams,Fail
GTF-GL46.gtf40.GL3Tests.transform_feedback3.transform_feedback3_streams_overflow,Fail
GTF-GL46.gtf40.GL3Tests.transform_feedback3.transform_feedback3_streams_queried,Fail
GTF-GL46.gtf42.GL3Tests.transform_feedback_instanced.transform_feedback_instanced_basic,Fail
GTF-GL46.gtf42.GL3Tests.transform_feedback_instanced.transform_feedback_instanced_conditional_render,Fail
GTF-GL46.gtf42.GL3Tests.transform_feedback_instanced.transform_feedback_instanced_streams,Fail
KHR-GL46.texture_buffer.texture_buffer_operations_transform_feedback,Fail
GTF-GL46.gtf33.GL3Tests.vertex_type_2_10_10_10_rev.vertex_type_2_10_10_10_rev_attrib,Fail
GTF-GL46.gtf33.GL3Tests.vertex_type_2_10_10_10_rev.vertex_type_2_10_10_10_rev_bgra,Fail
GTF-GL46.gtf33.GL3Tests.vertex_type_2_10_10_10_rev.vertex_type_2_10_10_10_rev_conversion,Fail
GTF-GL46.gtf33.GL3Tests.vertex_type_2_10_10_10_rev.vertex_type_2_10_10_10_rev_divisor,Fail
KHR-GL46.direct_state_access.buffers_functional,Fail
KHR-GL46.direct_state_access.vertex_arrays_attribute_format,Fail
KHR-GL46.direct_state_access.vertex_arrays_vertex_buffers,Fail
KHR-GL46.gpu_shader_fp64.fp64.max_uniform_components,Fail
KHR-GL46.gpu_shader_fp64.fp64.named_uniform_blocks,Fail
KHR-GL46.shader_atomic_counters.advanced-usage-multi-stage,Fail
KHR-GL46.shaders.loops.do_while_constant_iterations.nested_sequence_vertex,Fail
KHR-GL46.shaders.loops.do_while_constant_iterations.nested_tricky_dataflow_2_fragment,Fail
KHR-GL46.shaders.loops.do_while_constant_iterations.nested_vertex,Fail
KHR-GL46.texture_buffer.texture_buffer_texture_buffer_range,Fail
KHR-GL46.texture_cube_map_array.texture_size_geometry_sh,Fail
KHR-GL46.texture_cube_map_array.texture_size_vertex_sh,Fail

# VKCTS coverage gap: fails on all non-mesa drivers

# Passes on AMDVLK, fails on PRO if not in a specific caselist order
KHR-GL46.direct_state_access.vertex_arrays_attribute_binding_divisor,Fail

# No VKCTS coverage, no pass
KHR-GL46.cull_distance.coverage,Fail
KHR-GL46.cull_distance.functional,Fail

# VK_EXT_image_2d_view_of_3d
KHR-GL46.shader_image_load_store.non-layered_binding,Fail

# Stencil sampling is apparently broken
KHR-GL46.texture_view.view_sampling,Fail

GTF-GL46.gtf31.GL3Tests.uniform_buffer_object.uniform_buffer_object_max_uniform_block_size,Fail

KHR-GL46.direct_state_access.vertex_arrays_element_buffer,Fail

# since 22.40-1577631
GTF-GL46.gtf30.GL3Tests.half_float.half_float_rendering,Fail
GTF-GL46.gtf30.GL3Tests.half_float.half_float_varying_data,Fail
GTF-GL46.gtf43.GL3Tests.eac_compression_signed_r11.gl_compressed_signed_r11_eac,Fail
