# EquivalentUnifiedIdeograph-15.0.0.txt
# Date: 2022-04-26, 20:42:00 GMT [KL, KW]
# © 2022 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# For documentation, see UAX #44: Unicode Character Database,
# at https://www.unicode.org/reports/tr44/
#
# This file defines the following property:
#
# Equivalent_Unified_Ideograph
#
# This data file lists CJK radicals and CJK strokes (aka characters
# that have the Radical=Yes property or are in the CJK Strokes block)
# for which there are reasonably equivalent CJK unified ideographs in
# that they are visually identical or near-identical.
#
# The file contains a list of lines with mappings from one code point
# or code point range to an equivalent CJK unified ideograph.
#
# Each mapping line contains two fields, separated by a semicolon (';').
# The first field contains a code point or code point range represented
# as a variable-length hexadecimal value with 4 to 6 digits. The second
# field contains a code point represented as a variable-length
# hexadecimal value with 4 to 6 digits.
#
# CJK radicals and CJK strokes for which no reasonably equivalent CJK
# unified ideographs exist are listed as comments at the end of the file.
#
# Formally, the default value of the Equivalent_Unified_Ideograph
# property for each code point is <none>, unless a mapping to some
# other character is specified in this data file. When a code point
# has the default value for the Equivalent_Unified_Ideograph property,
# that means that no other character exists whose representative glyph
# is a reasonably equivalent CJK unified ideograph.
#
# This file was originally created by Ken Lunde.
#
# ############################################################
#
# Property: Equivalent_Unified_Ideograph
#
# @missing: 0000..10FFFF; <none>

2F60       ; 74DC  #     KANGXI RADICAL MELON
2F61       ; 74E6  #     KANGXI RADICAL TILE
2F62       ; 7518  #     KANGXI RADICAL SWEET
2F63       ; 751F  #     KANGXI RADICAL LIFE
2F64       ; 7528  #     KANGXI RADICAL USE
2F65       ; 7530  #     KANGXI RADICAL FIELD
2F66       ; 758B  #     KANGXI RADICAL BOLT OF CLOTH
2F67       ; 7592  #     KANGXI RADICAL SICKNESS
2F68       ; 7676  #     KANGXI RADICAL DOTTED TENT
2F69       ; 767D  #     KANGXI RADICAL WHITE
2F6A       ; 76AE  #     KANGXI RADICAL SKIN
2F6B       ; 76BF  #     KANGXI RADICAL DISH
2F6C       ; 76EE  #     KANGXI RADICAL EYE
2F6D       ; 77DB  #     KANGXI RADICAL SPEAR
2F6E       ; 77E2  #     KANGXI RADICAL ARROW
2F6F       ; 77F3  #     KANGXI RADICAL STONE
2F70       ; 793A  #     KANGXI RADICAL SPIRIT
2F71       ; 79B8  #     KANGXI RADICAL TRACK
2F72       ; 79BE  #     KANGXI RADICAL GRAIN
2F73       ; 7A74  #     KANGXI RADICAL CAVE
2F74       ; 7ACB  #     KANGXI RADICAL STAND
2F75       ; 7AF9  #     KANGXI RADICAL BAMBOO
2F76       ; 7C73  #     KANGXI RADICAL RICE
2F77       ; 7CF8  #     KANGXI RADICAL SILK
2F78       ; 7F36  #     KANGXI RADICAL JAR
2F79       ; 7F51  #     KANGXI RADICAL NET
2F7A       ; 7F8A  #     KANGXI RADICAL SHEEP
2F7B       ; 7FBD  #     KANGXI RADICAL FEATHER
2F7C       ; 8001  #     KANGXI RADICAL OLD
2F7D       ; 800C  #     KANGXI RADICAL AND
2F7E       ; 8012  #     KANGXI RADICAL PLOW
2F7F       ; 8033  #     KANGXI RADICAL EAR
2F80       ; 807F  #     KANGXI RADICAL BRUSH
2F81       ; 8089  #     KANGXI RADICAL MEAT
2F82       ; 81E3  #     KANGXI RADICAL MINISTER
2F83       ; 81EA  #     KANGXI RADICAL SELF
2F84       ; 81F3  #     KANGXI RADICAL ARRIVE
2F85       ; 81FC  #     KANGXI RADICAL MORTAR
2F86       ; 820C  #     KANGXI RADICAL TONGUE
2F87       ; 821B  #     KANGXI RADICAL OPPOSE
2F88       ; 821F  #     KANGXI RADICAL BOAT
2F89       ; 826E  #     KANGXI RADICAL STOPPING
2F8A       ; 8272  #     KANGXI RADICAL COLOR
2F8B       ; 8278  #     KANGXI RADICAL GRASS
2F8C       ; 864D  #     KANGXI RADICAL TIGER
2F8D       ; 866B  #     KANGXI RADICAL INSECT
2F8E       ; 8840  #     KANGXI RADICAL BLOOD
2F8F       ; 884C  #     KANGXI RADICAL WALK ENCLOSURE
2F90       ; 8863  #     KANGXI RADICAL CLOTHES
2F91       ; 897E  #     KANGXI RADICAL WEST
2F92       ; 898B  #     KANGXI RADICAL SEE
2F93       ; 89D2  #     KANGXI RADICAL HORN
2F94       ; 8A00  #     KANGXI RADICAL SPEECH
2F95       ; 8C37  #     KANGXI RADICAL VALLEY
2F96       ; 8C46  #     KANGXI RADICAL BEAN
2F97       ; 8C55  #     KANGXI RADICAL PIG
2F98       ; 8C78  #     KANGXI RADICAL BADGER
2F99       ; 8C9D  #     KANGXI RADICAL SHELL
2F9A       ; 8D64  #     KANGXI RADICAL RED
2F9B       ; 8D70  #     KANGXI RADICAL RUN
2F9C       ; 8DB3  #     KANGXI RADICAL FOOT
2F9D       ; 8EAB  #     KANGXI RADICAL BODY
2F9E       ; 8ECA  #     KANGXI RADICAL CART
2F9F       ; 8F9B  #     KANGXI RADICAL BITTER
2FA0       ; 8FB0  #     KANGXI RADICAL MORNING
2FA1       ; 8FB5  #     KANGXI RADICAL WALK
2FA2       ; 9091  #     KANGXI RADICAL CITY
2FA3       ; 9149  #     KANGXI RADICAL WINE
2FA4       ; 91C6  #     KANGXI RADICAL DISTINGUISH
2FA5       ; 91CC  #     KANGXI RADICAL VILLAGE
2FA6       ; 91D1  #     KANGXI RADICAL GOLD
2FA7       ; 9577  #     KANGXI RADICAL LONG
2FA8       ; 9580  #     KANGXI RADICAL GATE
2FA9       ; 961C  #     KANGXI RADICAL MOUND
2FAA       ; 96B6  #     KANGXI RADICAL SLAVE
2FAB       ; 96B9  #     KANGXI RADICAL SHORT TAILED BIRD
2FAC       ; 96E8  #     KANGXI RADICAL RAIN
2FAD       ; 9751  #     KANGXI RADICAL BLUE
2FAE       ; 975E  #     KANGXI RADICAL WRONG
2FAF       ; 9762  #     KANGXI RADICAL FACE
2FB0       ; 9769  #     KANGXI RADICAL LEATHER
2FB1       ; 97CB  #     KANGXI RADICAL TANNED LEATHER
2FB2       ; 97ED  #     KANGXI RADICAL LEEK
2FB3       ; 97F3  #     KANGXI RADICAL SOUND
2FB4       ; 9801  #     KANGXI RADICAL LEAF
2FB5       ; 98A8  #     KANGXI RADICAL WIND
2FB6       ; 98DB  #     KANGXI RADICAL FLY
2FB7       ; 98DF  #     KANGXI RADICAL EAT
2FB8       ; 9996  #     KANGXI RADICAL HEAD
2FB9       ; 9999  #     KANGXI RADICAL FRAGRANT
2FBA       ; 99AC  #     KANGXI RADICAL HORSE
2FBB       ; 9AA8  #     KANGXI RADICAL BONE
2FBC       ; 9AD8  #     KANGXI RADICAL TALL
2FBD       ; 9ADF  #     KANGXI RADICAL HAIR
2FBE       ; 9B25  #     KANGXI RADICAL FIGHT
2FBF       ; 9B2F  #     KANGXI RADICAL SACRIFICIAL WINE
2FC0       ; 9B32  #     KANGXI RADICAL CAULDRON
2FC1       ; 9B3C  #     KANGXI RADICAL GHOST
2FC2       ; 9B5A  #     KANGXI RADICAL FISH
2FC3       ; 9CE5  #     KANGXI RADICAL BIRD
2FC4       ; 9E75  #     KANGXI RADICAL SALT
2FC5       ; 9E7F  #     KANGXI RADICAL DEER
2FC6       ; 9EA5  #     KANGXI RADICAL WHEAT
2FC7       ; 9EBB  #     KANGXI RADICAL HEMP
2FC8       ; 9EC3  #     KANGXI RADICAL YELLOW
2FC9       ; 9ECD  #     KANGXI RADICAL MILLET
2FCA       ; 9ED1  #     KANGXI RADICAL BLACK
2FCB       ; 9EF9  #     KANGXI RADICAL EMBROIDERY
2FCC       ; 9EFD  #     KANGXI RADICAL FROG
2FCD       ; 9F0E  #     KANGXI RADICAL TRIPOD
2FCE       ; 9F13  #     KANGXI RADICAL DRUM
2FCF       ; 9F20  #     KANGXI RADICAL RAT
2FD0       ; 9F3B  #     KANGXI RADICAL NOSE
2FD1       ; 9F4A  #     KANGXI RADICAL EVEN
2FD2       ; 9F52  #     KANGXI RADICAL TOOTH
2FD3       ; 9F8D  #     KANGXI RADICAL DRAGON
2FD4       ; 9F9C  #     KANGXI RADICAL TURTLE
2FD5       ; 9FA0  #     KANGXI RADICAL FLUTE
31C6       ; 200CC #     CJK STROKE HZG
31CF       ; 4E40  #     CJK STROKE N
31D0       ; 4E00  #     CJK STROKE H
31D1       ; 4E28  #     CJK STROKE S
31D2..31D3 ; 4E3F  # [2] CJK STROKE P..CJK STROKE SP
31D4       ; 4E36  #     CJK STROKE D
31D5       ; 200CD #     CJK STROKE HZ
31D6       ; 4E5B  #     CJK STROKE HG
31D7       ; 200CA #     CJK STROKE SZ
31D8       ; 200CE #     CJK STROKE SWZ
31D9       ; 2010C #     CJK STROKE ST
31DA       ; 4E85  #     CJK STROKE SG
31DB       ; 21FE8 #     CJK STROKE PD
31DC       ; 200CB #     CJK STROKE PZ
31DD       ; 4E40  #     CJK STROKE TN
31DE       ; 200D1 #     CJK STROKE SZZ
31DF       ; 4E5A  #     CJK STROKE SWG
31E0       ; 4E59  #     CJK STROKE HXWG
31E1       ; 2010E #     CJK STROKE HZZZG

# The following characters have no equivalent CJK unified ideograph.

# 2E80; CJK RADICAL REPEAT
# 31C0; CJK STROKE T
# 31C1; CJK STROKE WG
# 31C2; CJK STROKE XG
# 31C3; CJK STROKE BXG
# 31C4; CJK STROKE SW
# 31C5; CJK STROKE HZZ
# 31C7; CJK STROKE HP
# 31C8; CJK STROKE HZWG
# 31C9; CJK STROKE SZWG
# 31CA; CJK STROKE HZT
# 31CB; CJK STROKE HZZP
# 31CC; CJK STROKE HPWG
# 31CD; CJK STROKE HZW
# 31CE; CJK STROKE HZZZ
# 31E2; CJK STROKE PG
# 31E3; CJK STROKE Q

# EOF
