# StandardizedVariants-15.0.0.txt
# Date: 2022-08-16, 19:08:00 GMT [KW]
# © 2022 Unicode®, Inc.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Specification of the variation sequences that are defined in the
# Unicode Standard.
#
# This file is a normative contributory data file in the
# Unicode Character Database.
#
# Standardized variation sequences are defined in this file.
#
# Ideographic variation sequences are defined according to the registration
# process specified in UTS #37, and are listed in the Ideographic
# Variation Database.
#
# Emoji variation sequences are defined in the file
# emoji-variation-sequences.txt, documented in UTS #51, Unicode Emoji.
#
# Only those three types of variation sequences
# are sanctioned for use by conformant implementations.
# In all other cases, use of a variation selector character does
# not change the visual appearance of the preceding base character
# from what it would have had in the absence of the variation selector.
#
# For more information on standardized variation sequences,
# see Section 23.4, Variation Selectors,
# in The Unicode Standard, Version 15.0.
#
# For more information on the Ideographic Variation Database,
# see https://www.unicode.org/ivd/
#
# For more information on emoji variation sequences,
# see https://www.unicode.org/reports/tr51/
#
# Format:
#   Field 0: the variation sequence
#   Field 1: the description of the desired appearance
#   Field 2: where the appearance is only different in particular shaping environments
#	this field lists them. The possible values are: isolate, initial, medial, final.
#	If more than one is present, there are spaces between them.
# =============================

# Mathematical

0030 FE00; short diagonal stroke form; # DIGIT ZERO
2A9E FE00; with similar following the slant of the upper leg; # SIMILAR OR GREATER-THAN
2AAC FE00; with slanted equal; # SMALLER THAN OR EQUAL TO
2AAD FE00; with slanted equal; # LARGER THAN OR EQUAL TO
2ACB FE00; with stroke through bottom members; # SUBSET OF ABOVE NOT EQUAL TO
2ACC FE00; with stroke through bottom members; # SUPERSET OF ABOVE NOT EQUAL TO
FF10 FE00; short diagonal stroke form; # FULLWIDTH DIGIT ZERO

# Mathematical alphabet script variants

1D49C FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL A
212C FE00;  chancery style; #  SCRIPT CAPITAL B
1D49E FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL C
1D49F FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL D
2130 FE00;  chancery style; #  SCRIPT CAPITAL E
2131 FE00;  chancery style; #  SCRIPT CAPITAL F
1D4A2 FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL G
210B FE00;  chancery style; #  SCRIPT CAPITAL H
2110 FE00;  chancery style; #  SCRIPT CAPITAL I
1D4A5 FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL J
1D4A6 FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL K
2112 FE00;  chancery style; #  SCRIPT CAPITAL L
2133 FE00;  chancery style; #  SCRIPT CAPITAL M
1D4A9 FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL N
1D4AA FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL O
1D4AB FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL P
1D4AC FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL Q
211B FE00;  chancery style; #  SCRIPT CAPITAL R
1D4AE FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL S
1D4AF FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL T
1D4B0 FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL U
1D4B1 FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL V
1D4B2 FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL W
1D4B3 FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL X
1D4B4 FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL Y
1D4B5 FE00; chancery style; #  MATHEMATICAL SCRIPT CAPITAL Z

1D49C FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL A
212C FE01;  roundhand style; #  SCRIPT CAPITAL B
1D49E FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL C
1D49F FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL D
2130 FE01;  roundhand style; #  SCRIPT CAPITAL E
2131 FE01;  roundhand style; #  SCRIPT CAPITAL F
1D4A2 FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL G
210B FE01;  roundhand style; #  SCRIPT CAPITAL H
2110 FE01;  roundhand style; #  SCRIPT CAPITAL I
1D4A5 FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL J
1D4A6 FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL K
2112 FE01;  roundhand style; #  SCRIPT CAPITAL L
2133 FE01;  roundhand style; #  SCRIPT CAPITAL M
1D4A9 FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL N
1D4AA FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL O
1D4AB FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL P
1D4AC FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL Q
211B FE01;  roundhand style; #  SCRIPT CAPITAL R
1D4AE FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL S
1D4AF FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL T
1D4B0 FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL U
1D4B1 FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL V
1D4B2 FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL W
1D4B3 FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL X
1D4B4 FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL Y
1D4B5 FE01; roundhand style; #  MATHEMATICAL SCRIPT CAPITAL Z

# East Asian punctuation positional variants

3001 FE00; corner-justified form; # IDEOGRAPHIC COMMA
3001 FE01; centered form; # IDEOGRAPHIC COMMA
3002 FE00; corner-justified form; # IDEOGRAPHIC FULL STOP
3002 FE01; centered form; # IDEOGRAPHIC FULL STOP
FF01 FE00; corner-justified form; # FULLWIDTH EXCLAMATION MARK
FF01 FE01; centered form; # FULLWIDTH EXCLAMATION MARK
FF0C FE00; corner-justified form; # FULLWIDTH COMMA
FF0C FE01; centered form; # FULLWIDTH COMMA
FF0E FE00; corner-justified form; # FULLWIDTH FULL STOP
FF0E FE01; centered form; # FULLWIDTH FULL STOP
FF1A FE00; corner-justified form; # FULLWIDTH COLON
FF1A FE01; centered form; # FULLWIDTH COLON
FF1B FE00; corner-justified form; # FULLWIDTH SEMICOLON
FF1B FE01; centered form; # FULLWIDTH SEMICOLON
FF1F FE00; corner-justified form; # FULLWIDTH QUESTION MARK
FF1F FE01; centered form; # FULLWIDTH QUESTION MARK

# Myanmar

1000 FE00; dotted form; # MYANMAR LETTER KA
1002 FE00; dotted form; # MYANMAR LETTER GA
1004 FE00; dotted form; # MYANMAR LETTER NGA
1010 FE00; dotted form; # MYANMAR LETTER TA
1011 FE00; dotted form; # MYANMAR LETTER THA
1015 FE00; dotted form; # MYANMAR LETTER PA
1019 FE00; dotted form; # MYANMAR LETTER MA
101A FE00; dotted form; # MYANMAR LETTER YA
101C FE00; dotted form; # MYANMAR LETTER LA
101D FE00; dotted form; # MYANMAR LETTER WA
1022 FE00; dotted form; # MYANMAR LETTER SHAN A
1031 FE00; dotted form; # MYANMAR VOWEL SIGN E
1075 FE00; dotted form; # MYANMAR LETTER SHAN KA
1078 FE00; dotted form; # MYANMAR LETTER SHAN CA
107A FE00; dotted form; # MYANMAR LETTER SHAN NYA
1080 FE00; dotted form; # MYANMAR LETTER SHAN THA
AA60 FE00; dotted form; # MYANMAR LETTER KHAMTI GA
AA61 FE00; dotted form; # MYANMAR LETTER KHAMTI CA
AA62 FE00; dotted form; # MYANMAR LETTER KHAMTI CHA
AA63 FE00; dotted form; # MYANMAR LETTER KHAMTI JA
AA64 FE00; dotted form; # MYANMAR LETTER KHAMTI JHA
AA65 FE00; dotted form; # MYANMAR LETTER KHAMTI NYA
AA66 FE00; dotted form; # MYANMAR LETTER KHAMTI TTA
AA6B FE00; dotted form; # MYANMAR LETTER KHAMTI NA
AA6C FE00; dotted form; # MYANMAR LETTER KHAMTI SA
AA6F FE00; dotted form; # MYANMAR LETTER KHAMTI FA
AA7A FE00; dotted form; # MYANMAR LETTER AITON RA

# Phags-pa

A856 FE00; phags-pa letter reversed shaping small a; # PHAGS-PA LETTER SMALL A
A85C FE00; phags-pa letter reversed shaping ha; # PHAGS-PA LETTER HA
A85E FE00; phags-pa letter reversed shaping i; # PHAGS-PA LETTER I
A85F FE00; phags-pa letter reversed shaping u; # PHAGS-PA LETTER U
A860 FE00; phags-pa letter reversed shaping e; # PHAGS-PA LETTER E
A868 FE00; phags-pa letter reversed shaping subjoined ya; # PHAGS-PA SUBJOINED LETTER YA

# Manichaean

10AC5 FE00; alternate form; isolate # MANICHAEAN LETTER DALETH
10AC6 FE00; alternate form; isolate # MANICHAEAN LETTER HE
10AD6 FE00; alternate form; isolate final # MANICHAEAN LETTER MEM
10AD7 FE00; alternate form; isolate # MANICHAEAN LETTER NUN
10AE1 FE00; alternate form; isolate # MANICHAEAN LETTER RESH

# Mongolian

1820 180B; second form; isolate medial final # MONGOLIAN LETTER A
1820 180C; third form; medial # MONGOLIAN LETTER A
1821 180B; second form; initial final # MONGOLIAN LETTER E
1822 180B; second form; medial # MONGOLIAN LETTER I
1823 180B; second form; medial final # MONGOLIAN LETTER O
1824 180B; second form; medial # MONGOLIAN LETTER U
1825 180B; second form; medial final # MONGOLIAN LETTER OE
1825 180C; third form; medial # MONGOLIAN LETTER OE
1826 180B; second form; isolate medial final # MONGOLIAN LETTER UE
1826 180C; third form; medial # MONGOLIAN LETTER UE
1828 180B; second form; initial medial # MONGOLIAN LETTER NA
1828 180C; third form; medial # MONGOLIAN LETTER NA
1828 180D; fourth form; medial # MONGOLIAN LETTER NA
182A 180B; second form; final # MONGOLIAN LETTER BA
182C 180B; second form; isolate initial medial # MONGOLIAN LETTER QA
182C 180C; third form; medial # MONGOLIAN LETTER QA
182C 180D; fourth form; medial # MONGOLIAN LETTER QA
182D 180B; second form; initial medial final # MONGOLIAN LETTER GA
182D 180C; third form; medial # MONGOLIAN LETTER GA
182D 180D; fourth form; medial # MONGOLIAN LETTER GA
1830 180B; second form; final # MONGOLIAN LETTER SA
1830 180C; third form; final # MONGOLIAN LETTER SA
1832 180B; second form; medial # MONGOLIAN LETTER TA
1833 180B; second form; initial medial final # MONGOLIAN LETTER DA
1835 180B; second form; medial # MONGOLIAN LETTER JA
1836 180B; second form; initial medial # MONGOLIAN LETTER YA
1836 180C; third form; medial # MONGOLIAN LETTER YA
1838 180B; second form; final # MONGOLIAN LETTER WA
1844 180B; second form; medial # MONGOLIAN LETTER TODO E
1845 180B; second form; medial # MONGOLIAN LETTER TODO I
1846 180B; second form; medial # MONGOLIAN LETTER TODO O
1847 180B; second form; isolate medial final # MONGOLIAN LETTER TODO U
1847 180C; third form; medial # MONGOLIAN LETTER TODO U
1848 180B; second form; medial # MONGOLIAN LETTER TODO OE
1849 180B; second form; isolate medial # MONGOLIAN LETTER TODO UE
184D 180B; second form; initial medial # MONGOLIAN LETTER TODO QA
184E 180B; second form; medial # MONGOLIAN LETTER TODO GA
185D 180B; second form; medial final # MONGOLIAN LETTER SIBE E
185E 180B; second form; medial final # MONGOLIAN LETTER SIBE I
185E 180C; third form; medial final # MONGOLIAN LETTER SIBE I
1860 180B; second form; medial final # MONGOLIAN LETTER SIBE UE
1863 180B; second form; medial # MONGOLIAN LETTER SIBE KA
1868 180B; second form; initial medial # MONGOLIAN LETTER SIBE TA
1868 180C; third form; medial # MONGOLIAN LETTER SIBE TA
1869 180B; second form; initial medial # MONGOLIAN LETTER SIBE DA
186F 180B; second form; initial medial # MONGOLIAN LETTER SIBE ZA
1873 180B; second form; medial final # MONGOLIAN LETTER MANCHU I
1873 180C; third form; medial final # MONGOLIAN LETTER MANCHU I
1873 180D; fourth form; medial # MONGOLIAN LETTER MANCHU I
1874 180B; second form; medial final # MONGOLIAN LETTER MANCHU KA
1874 180C; third form; medial final # MONGOLIAN LETTER MANCHU KA
1874 180D; fourth form; medial # MONGOLIAN LETTER MANCHU KA
1876 180B; second form; initial medial # MONGOLIAN LETTER MANCHU FA
1880 180B; second form; # MONGOLIAN LETTER ALI GALI ANUSVARA ONE
1881 180B; second form; # MONGOLIAN LETTER ALI GALI VISARGA ONE
1887 180B; second form; isolate final # MONGOLIAN LETTER ALI GALI A
1887 180C; third form; final # MONGOLIAN LETTER ALI GALI A
1887 180D; fourth form; final # MONGOLIAN LETTER ALI GALI A
1888 180B; second form; final # MONGOLIAN LETTER ALI GALI I
188A 180B; second form; initial medial # MONGOLIAN LETTER ALI GALI NGA

# Egyptian hieroglyph rotational variants

# Rotations are clockwise for when rendered normally as left-to-right.
# Rotations are counter-clockwise when text is mirrored right-to-left.

13091 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH D027
13092 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH D027A
13093 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH D028
130A9 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH D047
1310F FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH F016
13117 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH F023
1311C FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH F028
13121 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH F032
13127 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH F037A
13139 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH F051
13139 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH F051
13183 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH H005
13187 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH H008
131A0 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH K006
131A0 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH K006
131B1 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH M003
131B1 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH M003
131B8 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH M009
131B9 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH M010
131BA FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH M010A
131CB FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH M017
131EE FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH M044
131EE FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH M044
131F8 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH N010
131F9 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH N011
131F9 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH N011
131FA FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH N012
131FA FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH N012
13216 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH N035
13257 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH O006
1327B FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH O029
1327F FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH O031
1327F FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH O031
13285 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH O036
1328C FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH O039
132A4 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH P008
132A4 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH P008
132AA FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH Q003
132CB FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH R024
132DC FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH S010
132E7 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH S018
132E7 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH S018
132E9 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH S020
132F8 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH S033
132FD FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH S037
13302 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH S042
13303 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH S043
13307 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH T001
13308 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH T002
13310 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH T008
13311 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH T008A
13312 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH T009
13312 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH T009
13313 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH T009A
13313 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH T009A
13314 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH T010
13314 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH T010
1331B FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH T016
1331B FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH T016
1331C FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH T016A
13321 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH T021
13321 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH T021
13322 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH T022
13322 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH T022
13331 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH T035
13331 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH T035
1333B FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH U007
1333C FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH U008
1334A FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH U022
13361 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH U042
13373 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH V007A
13377 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH V010
13378 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH V011
1337D FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH V012A
13385 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH V019
13399 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH V026
1339A FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH V027
133AF FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH W001
133B0 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH W002
133BF FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH W014
133D3 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH X004A
133DD FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH Y002
133F2 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH Z007
133F5 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH Z010
133F6 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH Z011
13403 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH Z015I
13416 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH AA008
13419 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH AA011
13419 FE01; rotated 180 degrees; # EGYPTIAN HIEROGLYPH AA011
13419 FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH AA011
1341A FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH AA012
13423 FE00; rotated 90 degrees; # EGYPTIAN HIEROGLYPH AA021
1342C FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH AA030
1342E FE02; rotated 270 degrees; # EGYPTIAN HIEROGLYPH AA032

# Egyptian hieroglyph expanded variants

13443 FE00; expanded ; # EGYPTIAN HIEROGLYPH LOST SIGN
13444 FE00; expanded ; # EGYPTIAN HIEROGLYPH HALF LOST SIGN
13445 FE00; expanded ; # EGYPTIAN HIEROGLYPH TALL LOST SIGN
13446 FE00; expanded ; # EGYPTIAN HIEROGLYPH WIDE LOST SIGN

# CJK compatibility ideographs

# Note: In the entries for CJK compatibility ideographs, field 1
# has the name of the respective CJK compatibility
# ideograph. The visual appearance of that CJK compatibility ideograph
# is the intended visual appearance of the base CJK unified ideograph
# followed by the variation selector in each sequence defined.

349E FE00; CJK COMPATIBILITY IDEOGRAPH-2F80C;
34B9 FE00; CJK COMPATIBILITY IDEOGRAPH-2F813;
34BB FE00; CJK COMPATIBILITY IDEOGRAPH-2F9CA;
34DF FE00; CJK COMPATIBILITY IDEOGRAPH-2F81F;
3515 FE00; CJK COMPATIBILITY IDEOGRAPH-2F824;
36EE FE00; CJK COMPATIBILITY IDEOGRAPH-2F867;
36FC FE00; CJK COMPATIBILITY IDEOGRAPH-2F868;
3781 FE00; CJK COMPATIBILITY IDEOGRAPH-2F876;
382F FE00; CJK COMPATIBILITY IDEOGRAPH-2F883;
3862 FE00; CJK COMPATIBILITY IDEOGRAPH-2F888;
387C FE00; CJK COMPATIBILITY IDEOGRAPH-2F88A;
38C7 FE00; CJK COMPATIBILITY IDEOGRAPH-2F896;
38E3 FE00; CJK COMPATIBILITY IDEOGRAPH-2F89B;
391C FE00; CJK COMPATIBILITY IDEOGRAPH-2F8A2;
393A FE00; CJK COMPATIBILITY IDEOGRAPH-2F8A1;
3A2E FE00; CJK COMPATIBILITY IDEOGRAPH-2F8C2;
3A6C FE00; CJK COMPATIBILITY IDEOGRAPH-2F8C7;
3AE4 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8D1;
3B08 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8D0;
3B19 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8CE;
3B49 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8DE;
3B9D FE00; CJK COMPATIBILITY IDEOGRAPH-FAD2;
3B9D FE01; CJK COMPATIBILITY IDEOGRAPH-2F8E7;
3C18 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8EE;
3C4E FE00; CJK COMPATIBILITY IDEOGRAPH-2F8F2;
3D33 FE00; CJK COMPATIBILITY IDEOGRAPH-2F90A;
3D96 FE00; CJK COMPATIBILITY IDEOGRAPH-2F916;
3EAC FE00; CJK COMPATIBILITY IDEOGRAPH-2F92A;
3EB8 FE00; CJK COMPATIBILITY IDEOGRAPH-2F92C;
3EB8 FE01; CJK COMPATIBILITY IDEOGRAPH-2F92D;
3F1B FE00; CJK COMPATIBILITY IDEOGRAPH-2F933;
3FFC FE00; CJK COMPATIBILITY IDEOGRAPH-2F93E;
4008 FE00; CJK COMPATIBILITY IDEOGRAPH-2F93F;
4018 FE00; CJK COMPATIBILITY IDEOGRAPH-FAD3;
4039 FE00; CJK COMPATIBILITY IDEOGRAPH-FAD4;
4039 FE01; CJK COMPATIBILITY IDEOGRAPH-2F949;
4046 FE00; CJK COMPATIBILITY IDEOGRAPH-2F94B;
4096 FE00; CJK COMPATIBILITY IDEOGRAPH-2F94C;
40E3 FE00; CJK COMPATIBILITY IDEOGRAPH-2F951;
412F FE00; CJK COMPATIBILITY IDEOGRAPH-2F958;
4202 FE00; CJK COMPATIBILITY IDEOGRAPH-2F960;
4227 FE00; CJK COMPATIBILITY IDEOGRAPH-2F964;
42A0 FE00; CJK COMPATIBILITY IDEOGRAPH-2F967;
4301 FE00; CJK COMPATIBILITY IDEOGRAPH-2F96D;
4334 FE00; CJK COMPATIBILITY IDEOGRAPH-2F971;
4359 FE00; CJK COMPATIBILITY IDEOGRAPH-2F974;
43D5 FE00; CJK COMPATIBILITY IDEOGRAPH-2F981;
43D9 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8D7;
440B FE00; CJK COMPATIBILITY IDEOGRAPH-2F984;
446B FE00; CJK COMPATIBILITY IDEOGRAPH-2F98E;
452B FE00; CJK COMPATIBILITY IDEOGRAPH-2F9A7;
455D FE00; CJK COMPATIBILITY IDEOGRAPH-2F9AE;
4561 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9AF;
456B FE00; CJK COMPATIBILITY IDEOGRAPH-2F9B2;
45D7 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9BF;
45F9 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9C2;
4635 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9C8;
46BE FE00; CJK COMPATIBILITY IDEOGRAPH-2F9CD;
46C7 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9CE;
4995 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9EF;
49E6 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9F2;
4A6E FE00; CJK COMPATIBILITY IDEOGRAPH-2F9F8;
4A76 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9F9;
